index,team,player_1,player_2,score_1,score_2
88,Mumbai Indians,MJ McClenaghan,HH Pandya,1,0
89,Mumbai Indians,HH Pandya,M Markande,18,6
90,Mumbai Indians,HH Pandya,JJ Bumrah,13,0
91,Sunrisers Hyderabad,DA Warner,JM Bairstow,69,39
92,Sunrisers Hyderabad,KS Williamson,JM Bairstow,1,6
93,Sunrisers Hyderabad,KS Williamson,V Shankar,13,34
94,Sunrisers Hyderabad,MK Pandey,V Shankar,1,1
95,Sunrisers Hyderabad,YK Pathan,MK Pandey,0,0
96,Sunrisers Hyderabad,YK Pathan,Rashid Khan,16,15
103,Mumbai Indians,RG Sharma,Q de Kock,32,19
104,Mumbai Indians,Q de Kock,SA Yadav,0,11
105,Mumbai Indians,Yuvraj Singh,Q de Kock,15,41
106,Mumbai Indians,Yuvraj Singh,KA Pollard,3,2
107,Mumbai Indians,KA Pollard,HH Pandya,5,15
108,Mumbai Indians,KH Pandya,HH Pandya,10,4
109,Mumbai Indians,MJ McClenaghan,HH Pandya,0,12
110,Mumbai Indians,MJ McClenaghan,M Markande,0,0
111,Delhi Capitals,S Dhawan,PP Shaw,16,11
112,Delhi Capitals,SS Iyer,PP Shaw,43,44
113,Delhi Capitals,RR Pant,PP Shaw,11,42
114,Delhi Capitals,CA Ingram,PP Shaw,1,2
115,Delhi Capitals,CA Ingram,GH Vihari,8,2
116,Delhi Capitals,CA Ingram,HV Patel,1,0
135,Sunrisers Hyderabad,DA Warner,JM Bairstow,70,114
136,Sunrisers Hyderabad,DA Warner,V Shankar,8,9
137,Sunrisers Hyderabad,YK Pathan,DA Warner,6,22
147,Chennai Super Kings,AT Rayudu,SR Watson,1,0
148,Chennai Super Kings,SR Watson,SK Raina,13,0
149,Chennai Super Kings,SK Raina,KM Jadhav,5,8
150,Chennai Super Kings,MS Dhoni,SK Raina,28,31
151,Chennai Super Kings,MS Dhoni,DJ Bravo,26,27
152,Chennai Super Kings,MS Dhoni,RA Jadeja,21,8
153,Delhi Capitals,S Dhawan,PP Shaw,0,0
154,Delhi Capitals,S Dhawan,SS Iyer,27,28
155,Delhi Capitals,S Dhawan,RR Pant,3,14
156,Delhi Capitals,CA Ingram,RR Pant,37,25
157,Delhi Capitals,CA Ingram,CH Morris,0,0
158,Delhi Capitals,CA Ingram,GH Vihari,1,2
159,Delhi Capitals,HV Patel,GH Vihari,0,0
160,Delhi Capitals,GH Vihari,K Rabada,0,0
161,Delhi Capitals,K Rabada,Avesh Khan,0,4
162,Delhi Capitals,Avesh Khan,S Lamichhane,0,0
182,Chennai Super Kings,AT Rayudu,SR Watson,0,1
183,Chennai Super Kings,SR Watson,SK Raina,4,0
184,Chennai Super Kings,SK Raina,KM Jadhav,16,10
185,Chennai Super Kings,MS Dhoni,KM Jadhav,12,36
186,Chennai Super Kings,RA Jadeja,KM Jadhav,1,1
187,Chennai Super Kings,DJ Bravo,KM Jadhav,2,11
188,Chennai Super Kings,DJ Bravo,DL Chahar,6,1
189,Chennai Super Kings,DL Chahar,SN Thakur,6,1
190,Chennai Super Kings,SN Thakur,MM Sharma,11,0
191,Mumbai Indians,RG Sharma,Q de Kock,3,4
192,Mumbai Indians,RG Sharma,SA Yadav,10,26
193,Mumbai Indians,Yuvraj Singh,SA Yadav,4,1
194,Mumbai Indians,SA Yadav,KH Pandya,20,42
195,Mumbai Indians,SA Yadav,HH Pandya,12,1
196,Mumbai Indians,KA Pollard,HH Pandya,17,24
197,Sunrisers Hyderabad,DA Warner,JM Bairstow,7,48
198,Sunrisers Hyderabad,DA Warner,V Shankar,3,1
199,Sunrisers Hyderabad,MK Pandey,V Shankar,10,15
200,Sunrisers Hyderabad,V Shankar,DJ Hooda,0,6
201,Sunrisers Hyderabad,YK Pathan,DJ Hooda,6,4
202,Sunrisers Hyderabad,YK Pathan,Mohammad Nabi,3,17
203,Delhi Capitals,S Dhawan,PP Shaw,3,11
204,Delhi Capitals,S Dhawan,SS Iyer,9,12
205,Delhi Capitals,SS Iyer,RR Pant,11,5
206,Delhi Capitals,R Tewatia,SS Iyer,5,3
207,Delhi Capitals,CA Ingram,SS Iyer,5,8
208,Delhi Capitals,CH Morris,SS Iyer,8,9
209,Delhi Capitals,CH Morris,AR Patel,9,4
210,Delhi Capitals,K Rabada,AR Patel,3,5
211,Delhi Capitals,I Sharma,AR Patel,0,14
228,Chennai Super Kings,SR Watson,F du Plessis,26,29
229,Chennai Super Kings,SK Raina,F du Plessis,17,25
230,Chennai Super Kings,MS Dhoni,SK Raina,0,0
231,Chennai Super Kings,MS Dhoni,AT Rayudu,37,21
232,Sunrisers Hyderabad,DA Warner,JM Bairstow,15,16
233,Sunrisers Hyderabad,DA Warner,V Shankar,0,0
234,Sunrisers Hyderabad,MK Pandey,V Shankar,4,5
235,Sunrisers Hyderabad,MK Pandey,DJ Hooda,12,7
236,Sunrisers Hyderabad,YK Pathan,DJ Hooda,0,1
237,Sunrisers Hyderabad,Mohammad Nabi,DJ Hooda,11,12
